team_folder,file_name,pages,text_chars,embedded_images,page_sizes,size_mb,status
ALEMANIA,ALEMANHA.pdf,2,0,4,613.3x859.9,4.98,OK
ALEMANIA,Alemania.pdf,1,0,21,595.3x841.9,1.74,OK
ARABIA SAUDITA,Arabia_Saudita.pdf,1,10,20,595.3x841.9,1.74,OK
ARGELIA,Argelia.pdf,1,10,17,595.3x841.9,1.83,OK
ARGENTINA,Argentina Extras Messi.pdf,2,0,2,595.3x822.0,43.11,OK
ARGENTINA,ARGENTINA.pdf,2,0,4,613.3x859.9,5.62,OK
AUSTRALIA,Australia.pdf,1,10,16,595.3x841.9,1.62,OK
AUSTRIA,Austria.pdf,1,10,18,595.3x841.9,1.57,OK
BELGICA,Belgica.pdf,1,10,16,595.3x841.9,1.58,OK
BOSNIA,Bosnia.pdf,1,10,19,595.3x841.9,2.17,OK
BRASIL,BRASIL.pdf,2,0,4,613.3x859.9,4.84,OK
CABO VERDE,Cabo_Verde.pdf,1,10,19,595.3x841.9,1.91,OK
CANADA,CANADÁ .pdf,1,0,16,612.0x858.8,18.71,OK
COCA COLA,COCA COLA.pdf,1,0,29,613.3x859.9,4.66,OK
COLOMBIA,COLOMBIA.pdf,2,0,4,613.3x859.9,5.95,OK
COSTA DE MARFIL,Costa_de_Marfil.pdf,1,10,17,595.3x841.9,2.02,OK
CROACIA,Croacia(1).pdf,1,10,17,595.3x841.9,1.91,OK
CROACIA,CROACIA.pdf,2,0,6,613.3x859.9,5.71,OK
CURAZAO,Curazao.pdf,1,10,20,595.3x841.9,1.96,OK
ECUADOR,EQUADOR.pdf,2,0,4,613.3x859.9,5.8,OK
EGIPTO,Egipto.pdf,1,10,20,595.3x841.9,1.96,OK
ESCOCIA,Escocia.pdf,1,10,17,595.3x841.9,1.82,OK
ESPAÑA,ESPANHA.pdf,2,0,4,613.3x859.9,6.0,OK
ESTADOS UNIDOS,Estados_Unidos.pdf,1,10,23,595.3x841.9,1.89,OK
FRANCIA,FRANÇA.pdf,2,0,4,613.3x859.9,6.05,OK
GHANA,Ghana.pdf,1,10,16,595.3x841.9,2.02,OK
HAITI,Haiti.pdf,1,10,19,595.3x841.9,2.04,OK
HOLANDA,HOLANDA.pdf,2,0,4,613.3x859.9,6.15,OK
INGLATERRA,INGLATERRA.pdf,2,0,4,613.3x859.9,4.66,OK
IRAK,Irak.pdf,1,10,21,595.3x841.9,1.95,OK
IRAN,Iran.pdf,1,10,21,595.3x841.9,1.9,OK
JAPON,japon 2026.pdf,4,0,86,595.3x841.9,6.71,OK
JORDANIA,Jordania.pdf,1,10,18,595.3x841.9,1.8,OK
KOREA,KOREA.pdf,2,46,16,612.0x858.8,17.18,OK
MARRUECOS,MARROCOS.pdf,2,0,4,613.3x859.9,5.84,OK
MARRUECOS,MARRUECOS.pdf,2,46,16,612.0x858.8,14.53,OK
MEXICO,MEXICO.pdf,2,0,4,613.3x859.9,5.46,OK
NORUEGA,Noruega(1).pdf,1,10,20,595.3x841.9,1.91,OK
NORUEGA,NORUEGA.pdf,2,0,4,613.3x859.9,4.98,OK
NUEVA ZELANDA,Nueva_Zelanda.pdf,1,10,19,595.3x841.9,1.9,OK
PANAMA,Panama.pdf,1,10,20,595.3x841.9,1.93,OK
PARAGUAY,Paraguay.pdf,1,10,20,595.3x841.9,1.97,OK
PORTUGAL,PORTUGAL.pdf,2,0,4,613.3x859.9,6.01,OK
QATAR,Qatar.pdf,1,10,13,595.3x841.9,1.62,OK
RD CONGO,RD_Congo (1).pdf,1,10,20,595.3x841.9,2.03,OK
REPUBLICA CHECA,REPÚBLICA CHECA.pdf,1,0,16,612.0x858.8,18.68,OK
SENEGAL,senegal 2026.pdf,4,28,84,595.3x841.9,6.3,OK
SOUTH AFRICA,SOUTH AFRICA .pdf,1,0,16,612.0x858.8,18.01,OK
SUECIA,Suecia.pdf,1,10,18,595.3x841.9,1.8,OK
SUIZA,Suiza.pdf,1,10,20,595.3x841.9,2.09,OK
TUNEZ,Tunez.pdf,1,10,19,595.3x841.9,1.96,OK
TURQUIA,Turquia.pdf,1,10,21,595.3x841.9,1.94,OK
URUGUAY,Uruguay(1).pdf,1,10,24,595.3x841.9,2.0,OK
URUGUAY,URUGUAY.pdf,2,0,4,613.3x859.9,4.97,OK
UZBEKISTAN,Uzbekistan.pdf,1,10,19,595.3x841.9,1.98,OK
